name_orthographic,lowercase_name,typographic_cleaned_name,special_charachters_cleaned_name,stop_words_cleaned_name
noir de fumée,noir de fumée,noir de fumee,noir de fumee,fumee noir
peaux d'agneau,peaux d'agneau,peaux d'agneau,peaux d agneau,agneau peaux
peaux de loup marin,peaux de loup marin,peaux de loup marin,peaux de loup marin,loup marin peaux
pierres à bâtir,pierres à bâtir,pierres a batir,pierres a batir,batir pierres
poêles de fer,poêles de fer,poeles de fer,poeles de fer,fer poeles
quincaille de fer,quincaille de fer,quincaille de fer,quincaille de fer,fer quincaille
salemporis,salemporis,salemporis,salemporis,salemporis
sassafras,sassafras,sassafras,sassafras,sassafras
sapin à faire échelles,sapin à faire échelles,sapin a faire echelles,sapin a faire echelles,echelles faire sapin
sapin à faire pioches,sapin à faire pioches,sapin a faire pioches,sapin a faire pioches,faire pioches sapin
sel ammoniac,sel ammoniac,sel ammoniac,sel ammoniac,ammoniac sel
toile commune,toile commune,toile commune,toile commune,commune toile
toile d'Allemagne,toile d'allemagne,toile d'allemagne,toile d allemagne,allemagne toile
toile de Bretagne à carreaux,toile de bretagne à carreaux,toile de bretagne a carreaux,toile de bretagne a carreaux,bretagne carreaux toile
toile de Bretagne crée large,toile de bretagne crée large,toile de bretagne cree large,toile de bretagne cree large,bretagne cree large toile
toile de Bretagne de halle,toile de bretagne de halle,toile de bretagne de halle,toile de bretagne de halle,bretagne halle toile
toile écrue,toile écrue,toile ecrue,toile ecrue,ecrue toile
toile linge de tables serviettes,toile linge de tables serviettes,toile linge de tables serviettes,toile linge de tables serviettes,linge serviettes tables toile
verres à boire communs,verres à boire communs,verres a boire communs,verres a boire communs,boire communs verres
verres cassés,verres cassés,verres casses,verres casses,casses verres
vin de liqueurs,vin de liqueurs,vin de liqueurs,vin de liqueurs,liqueurs vin
amandes en coque,amandes en coque,amandes en coque,amandes en coque,amandes coque
baume du Pérou,baume du pérou,baume du perou,baume du perou,baume perou
beurre salé,beurre salé,beurre sale,beurre sale,beurre sale
blanc de céruse,blanc de céruse,blanc de ceruse,blanc de ceruse,blanc ceruse
blé d'Inde,blé d'inde,ble d'inde,ble d inde,ble inde
bois à bâtir,bois à bâtir,bois a batir,bois a batir,batir bois
bois de Campêche moulu,bois de campêche moulu,bois de campeche moulu,bois de campeche moulu,bois campeche moulu
cocons de soie,cocons de soie,cocons de soie,cocons de soie,cocons soie
carreaux de pierre,carreaux de pierre,carreaux de pierre,carreaux de pierre,carreaux pierre
cendre d'orfèvre,cendre d'orfèvre,cendre d'orfevre,cendre d orfevre,cendre orfevre
colle de poisson,colle de poisson,colle de poisson,colle de poisson,colle poisson
cordouans,cordouans,cordouans,cordouans,cordouans
cuirs de cheval tannés,cuirs de cheval tannés,cuirs de cheval tannes,cuirs de cheval tannes,cheval cuirs tannes
cuivre tangoul,cuivre tangoul,cuivre tangoul,cuivre tangoul,cuivre tangoul
cuisses d'oie,cuisses d'oie,cuisses d'oie,cuisses d oie,cuisses oie
cuivre en planches,cuivre en planches,cuivre en planches,cuivre en planches,cuivre planches
cuivre en rosette,cuivre en rosette,cuivre en rosette,cuivre en rosette,cuivre rosette
dame-jeannes de verre,dame-jeannes de verre,dame-jeannes de verre,dame jeannes de verre,dame jeannes verre
dentelle de fil,dentelle de fil,dentelle de fil,dentelle de fil,dentelle fil
douelles à barriques,douelles à barriques,douelles a barriques,douelles a barriques,barriques douelles
drap de Silésie,drap de silésie,drap de silesie,drap de silesie,drap silesie
draperie petite,draperie petite,draperie petite,draperie petite,draperie petite
drogues médicinales séné,drogues médicinales séné,drogues medicinales sene,drogues medicinales sene,drogues medicinales sene
écaille de cahouanne,écaille de cahouanne,ecaille de cahouanne,ecaille de cahouanne,cahouanne ecaille
escayolles,escayolles,escayolles,escayolles,escayolles
esprit de bergamote,esprit de bergamote,esprit de bergamote,esprit de bergamote,bergamote esprit
étoffe mi soie,étoffe mi soie,etoffe mi soie,etoffe mi soie,etoffe mi soie
fer en plaques,fer en plaques,fer en plaques,fer en plaques,fer plaques
fer ouvré,fer ouvré,fer ouvre,fer ouvre,fer ouvre
fil de caret,fil de caret,fil de caret,fil de caret,caret fil
filets pour la pêche,filets pour la pêche,filets pour la peche,filets pour la peche,filets peche
follicule de séné,follicule de séné,follicule de sene,follicule de sene,follicule sene
forme de terre à sucre,forme de terre à sucre,forme de terre a sucre,forme de terre a sucre,forme sucre terre
fottes,fottes,fottes,fottes,fottes
graine de lin,graine de lin,graine de lin,graine de lin,graine lin
girofle,girofle,girofle,girofle,girofle
gomme ammoniac,gomme ammoniac,gomme ammoniac,gomme ammoniac,ammoniac gomme
gomme laque,gomme laque,gomme laque,gomme laque,gomme laque
huile de baleine,huile de baleine,huile de baleine,huile de baleine,baleine huile
huile de graine,huile de graine,huile de graine,huile de graine,graine huile
joncs à faire chaises,joncs à faire chaises,joncs a faire chaises,joncs a faire chaises,chaises faire joncs
laine de chevrons,laine de chevrons,laine de chevrons,laine de chevrons,chevrons laine
laine de Carmenie,laine de carmenie,laine de carmenie,laine de carmenie,carmenie laine
laiton en feuilles,laiton en feuilles,laiton en feuilles,laiton en feuilles,feuilles laiton
lin cru,lin cru,lin cru,lin cru,cru lin
lin peigné,lin peigné,lin peigne,lin peigne,lin peigne
mouchoirs de Cholet,mouchoirs de cholet,mouchoirs de cholet,mouchoirs de cholet,cholet mouchoirs
mouchoirs de coton,mouchoirs de coton,mouchoirs de coton,mouchoirs de coton,coton mouchoirs
oignons de fleurs,oignons de fleurs,oignons de fleurs,oignons de fleurs,fleurs oignons
pain à cacheter,pain à cacheter,pain a cacheter,pain a cacheter,cacheter pain
peaux de cerf,peaux de cerf,peaux de cerf,peaux de cerf,cerf peaux
planches de sapin communes,planches de sapin communes,planches de sapin communes,planches de sapin communes,communes planches sapin
poil de chèvre filé,poil de chèvre filé,poil de chevre file,poil de chevre file,chevre file poil
salsepareille,salsepareille,salsepareille,salsepareille,salsepareille
sucre brut,sucre brut,sucre brut,sucre brut,brut sucre
sel de Glauber,sel de glauber,sel de glauber,sel de glauber,glauber sel
sirop d'alkermès,sirop d'alkermès,sirop d'alkermes,sirop d alkermes,alkermes sirop
toile à serviettes,toile à serviettes,toile a serviettes,toile a serviettes,serviettes toile
toile blancard,toile blancard,toile blancard,toile blancard,blancard toile
toile bleue,toile bleue,toile bleue,toile bleue,bleue toile
toile crue,toile crue,toile crue,toile crue,crue toile
toile de lin batiste,toile de lin batiste,toile de lin batiste,toile de lin batiste,batiste lin toile
toile de lin de Laval,toile de lin de laval,toile de lin de laval,toile de lin de laval,laval lin toile
toile fil et coton,toile fil et coton,toile fil et coton,toile fil et coton,coton fil toile
trenelle d'espars,trenelle d'espars,trenelle d'espars,trenelle d espars,espars trenelle
vert-de-gris,vert-de-gris,vert-de-gris,vert de gris,gris vert
vin de Côte-Rotie,vin de côte-rotie,vin de cote-rotie,vin de cote rotie,cote rotie vin
armes à feu pistolets,armes à feu pistolets,armes a feu pistolets,armes a feu pistolets,armes feu pistolets
bas de filoselle,bas de filoselle,bas de filoselle,bas de filoselle,bas filoselle
bas d'estame,bas d'estame,bas d'estame,bas d estame,bas estame
bœuf en vie,bœuf en vie,boeuf en vie,boeuf en vie,boeuf vie
beurre,beurre,beurre,beurre,beurre
bois merrains en douelles,bois merrains en douelles,bois merrains en douelles,bois merrains en douelles,bois douelles merrains
cabillaud,cabillaud,cabillaud,cabillaud,cabillaud
cardamome,cardamome,cardamome,cardamome,cardamome
café d'Amérique,café d'amérique,cafe d'amerique,cafe d amerique,amerique cafe
café de Bourbon,café de bourbon,cafe de bourbon,cafe de bourbon,bourbon cafe
cannettes d'étain,cannettes d'étain,cannettes d'etain,cannettes d etain,cannettes etain
caves garnies,caves garnies,caves garnies,caves garnies,caves garnies
cire à cacheter,cire à cacheter,cire a cacheter,cire a cacheter,cacheter cire
couperose verte,couperose verte,couperose verte,couperose verte,couperose verte
cuirs de génisse,cuirs de génisse,cuirs de genisse,cuirs de genisse,cuirs genisse
cuirs en poil,cuirs en poil,cuirs en poil,cuirs en poil,cuirs poil
drap du Languedoc,drap du languedoc,drap du languedoc,drap du languedoc,drap languedoc
drap londrin,drap londrin,drap londrin,drap londrin,drap londrin
drogues médicinales diverses,drogues médicinales diverses,drogues medicinales diverses,drogues medicinales diverses,diverses drogues medicinales
drogues médicinales safran,drogues médicinales safran,drogues medicinales safran,drogues medicinales safran,drogues medicinales safran
écorce de chêne,écorce de chêne,ecorce de chene,ecorce de chene,chene ecorce
étoffe de laine,étoffe de laine,etoffe de laine,etoffe de laine,etoffe laine
futailles vides,futailles vides,futailles vides,futailles vides,futailles vides
ferrements,ferrements,ferrements,ferrements,ferrements
fer en ancres,fer en ancres,fer en ancres,fer en ancres,ancres fer
fer en chaudière,fer en chaudière,fer en chaudiere,fer en chaudiere,chaudiere fer
fer en feuillards,fer en feuillards,fer en feuillards,fer en feuillards,fer feuillards
fer en verges,fer en verges,fer en verges,fer en verges,fer verges
fil de Rennes,fil de rennes,fil de rennes,fil de rennes,fil rennes
fléaux de fer,fléaux de fer,fleaux de fer,fleaux de fer,fer fleaux
fleurs artificielles,fleurs artificielles,fleurs artificielles,fleurs artificielles,artificielles fleurs
fruits secs,fruits secs,fruits secs,fruits secs,fruits secs
gants lisérés de soie,gants lisérés de soie,gants liseres de soie,gants liseres de soie,gants liseres soie
gomme gutte,gomme gutte,gomme gutte,gomme gutte,gomme gutte
graine à chapelets,graine à chapelets,graine a chapelets,graine a chapelets,chapelets graine
graine de canarie,graine de canarie,graine de canarie,graine de canarie,canarie graine
graine de choux,graine de choux,graine de choux,graine de choux,choux graine
graine de moutarde,graine de moutarde,graine de moutarde,graine de moutarde,graine moutarde
huile de vitriol,huile de vitriol,huile de vitriol,huile de vitriol,huile vitriol
huile d'olive fine,huile d'olive fine,huile d'olive fine,huile d olive fine,fine huile olive
instruments de musique,instruments de musique,instruments de musique,instruments de musique,instruments musique
laine d'agnelin,laine d'agnelin,laine d'agnelin,laine d agnelin,agnelin laine
langues de bœuf salées,langues de bœuf salées,langues de boeuf salees,langues de boeuf salees,boeuf langues salees
maquereaux salés,maquereaux salés,maquereaux sales,maquereaux sales,maquereaux sales
merrains à quarts,merrains à quarts,merrains a quarts,merrains a quarts,merrains quarts
merrains à quarts en douelles,merrains à quarts en douelles,merrains a quarts en douelles,merrains a quarts en douelles,douelles merrains quarts
marbre ouvré,marbre ouvré,marbre ouvre,marbre ouvre,marbre ouvre
marchandises à l'estimation,marchandises à l'estimation,marchandises a l'estimation,marchandises a l estimation,estimation marchandises
mine de plomb,mine de plomb,mine de plomb,mine de plomb,mine plomb
mouchoirs de Masulipatan,mouchoirs de masulipatan,mouchoirs de masulipatan,mouchoirs de masulipatan,masulipatan mouchoirs
mouchoirs de Rouen,mouchoirs de rouen,mouchoirs de rouen,mouchoirs de rouen,mouchoirs rouen
ornements d'église,ornements d'église,ornements d'eglise,ornements d eglise,eglise ornements
parapluies,parapluies,parapluies,parapluies,parapluies
pareira brava,pareira brava,pareira brava,pareira brava,brava pareira
peaux de chamois,peaux de chamois,peaux de chamois,peaux de chamois,chamois peaux
peaux de daim,peaux de daim,peaux de daim,peaux de daim,daim peaux
peaux pelleterie apprêtées,peaux pelleterie apprêtées,peaux pelleterie appretees,peaux pelleterie appretees,appretees peaux pelleterie
peaux de lièvre,peaux de lièvre,peaux de lievre,peaux de lievre,lievre peaux
peignes d'ivoire,peignes d'ivoire,peignes d'ivoire,peignes d ivoire,ivoire peignes
pierres bleues,pierres bleues,pierres bleues,pierres bleues,bleues pierres
planches de chêne de 12 pieds,planches de chêne de 12 pieds,planches de chene de 12 pieds,planches de chene de 12 pieds,12 chene pieds planches
planches de sapin de 10 pieds,planches de sapin de 10 pieds,planches de sapin de 10 pieds,planches de sapin de 10 pieds,10 pieds planches sapin
poil de chameau,poil de chameau,poil de chameau,poil de chameau,chameau poil
poudre à tirer,poudre à tirer,poudre a tirer,poudre a tirer,poudre tirer
poudre d'Ailhaud,poudre d'ailhaud,poudre d'ailhaud,poudre d ailhaud,ailhaud poudre
ruban de fil,ruban de fil,ruban de fil,ruban de fil,fil ruban
roues à cabrouets,roues à cabrouets,roues a cabrouets,roues a cabrouets,cabrouets roues
sardines salées,sardines salées,sardines salees,sardines salees,salees sardines
sapin à faire comble,sapin à faire comble,sapin a faire comble,sapin a faire comble,comble faire sapin
sel de Saturne,sel de saturne,sel de saturne,sel de saturne,saturne sel
sirop mélasse,sirop mélasse,sirop melasse,sirop melasse,melasse sirop
soie tani,soie tani,soie tani,soie tani,soie tani
tabac en carotte,tabac en carotte,tabac en carotte,tabac en carotte,carotte tabac
tabatières d'écaille,tabatières d'écaille,tabatieres d'ecaille,tabatieres d ecaille,ecaille tabatieres
terre à potier,terre à potier,terre a potier,terre a potier,potier terre
toile basin,toile basin,toile basin,toile basin,basin toile
toile de Bretagne de Combourg,toile de bretagne de combourg,toile de bretagne de combourg,toile de bretagne de combourg,bretagne combourg toile
toile de Bretagne diverse,toile de bretagne diverse,toile de bretagne diverse,toile de bretagne diverse,bretagne diverse toile
toile de Laval,toile de laval,toile de laval,toile de laval,laval toile
toile de lin de Rouen,toile de lin de rouen,toile de lin de rouen,toile de lin de rouen,lin rouen toile
