name_orthographic,lowercase_name,typographic_cleaned_name
cuirs de vache en poil,cuirs de vache en poil,cuirs de vache en poil
dissouchaye,dissouchaye,dissouchaye
drap d'Arnetal,drap d'arnetal,drap d'arnetal
drogues médicinales crème de tartre,drogues médicinales crème de tartre,drogues medicinales creme de tartre
eau-de-vie,eau-de-vie,eau-de-vie
espars de sapin,espars de sapin,espars de sapin
étoffe de coton,étoffe de coton,etoffe de coton
faïence,faïence,faience
faïence en vaisselle,faïence en vaisselle,faience en vaisselle
fer-blanc simple,fer-blanc simple,fer-blanc simple
fer en batterie,fer en batterie,fer en batterie
flacons de verre,flacons de verre,flacons de verre
fourrure de soie,fourrure de soie,fourrure de soie
fruits cuits,fruits cuits,fruits cuits
fusils boucaniers,fusils boucaniers,fusils boucaniers
galon d'or,galon d'or,galon d'or
gobelets de cristal,gobelets de cristal,gobelets de cristal
gomme arabique,gomme arabique,gomme arabique
gomme thurique,gomme thurique,gomme thurique
huile à brûler,huile à brûler,huile a bruler
huile de noix,huile de noix,huile de noix
jaune de Naples,jaune de naples,jaune de naples
laine peignée,laine peignée,laine peignee
litharge,litharge,litharge
merrains à pipes douelles,merrains à pipes douelles,merrains a pipes douelles
manches de gaffes,manches de gaffes,manches de gaffes
manne de Calabre,manne de calabre,manne de calabre
marmites de fer,marmites de fer,marmites de fer
meules bâtardes,meules bâtardes,meules batardes
mouchoirs de fil,mouchoirs de fil,mouchoirs de fil
mouchoirs des Indes,mouchoirs des indes,mouchoirs des indes
nicaneas petits,nicaneas petits,nicaneas petits
ouate,ouate,ouate
planches de sapin de 18 pieds,planches de sapin de 18 pieds,planches de sapin de 18 pieds
papier commun,papier commun,papier commun
papier d'estrasse,papier d'estrasse,papier d'estrasse
peaux de Russie,peaux de russie,peaux de russie
peaux de daim apprêtées,peaux de daim apprêtées,peaux de daim appretees
pierres de Saint-Cast,pierres de saint-cast,pierres de saint-cast
plants de mûriers,plants de mûriers,plants de muriers
plumes d'oie,plumes d'oie,plumes d'oie
poêles à feu,poêles à feu,poeles a feu
pois de Bourgogne,pois de bourgogne,pois de bourgogne
pois secs,pois secs,pois secs
poisson frit,poisson frit,poisson frit
poix résines,poix résines,poix resines
poterie de terre,poterie de terre,poterie de terre
raz de Saint-Maur,raz de saint-maur,raz de saint-maur
raisin de Corinthe,raisin de corinthe,raisin de corinthe
raz du Maroc,raz du maroc,raz du maroc
safranum,safranum,safranum
sel du Poulinguen,sel du poulinguen,sel du poulinguen
sel médicinal,sel médicinal,sel medicinal
simarouba,simarouba,simarouba
semen contra,semen contra,semen contra
sirop de capillaire,sirop de capillaire,sirop de capillaire
soliveaux de sapin,soliveaux de sapin,soliveaux de sapin
soliveaux de chêne,soliveaux de chêne,soliveaux de chene
sucre cassonade,sucre cassonade,sucre cassonade
sucre en pain,sucre en pain,sucre en pain
sucre raffiné,sucre raffiné,sucre raffine
thériaque,thériaque,theriaque
thon mariné,thon mariné,thon marine
toile grosse,toile grosse,toile grosse
toile abat,toile abat,toile abat
toile cottray,toile cottray,toile cottray
toile d'Antioche,toile d'antioche,toile d'antioche
toile de Cambrai,toile de cambrai,toile de cambrai
toile de chanvre diverse,toile de chanvre diverse,toile de chanvre diverse
toile de coton blanche,toile de coton blanche,toile de coton blanche
toile des Indes,toile des indes,toile des indes
toile de lin de Beauvais,toile de lin de beauvais,toile de lin de beauvais
toile de Suisse,toile de suisse,toile de suisse
toile d'étoupes de lin,toile d'étoupes de lin,toile d'etoupes de lin
toile rayée,toile rayée,toile rayee
tripe de velours,tripe de velours,tripe de velours
verres communs à boire,verres communs à boire,verres communs a boire
verres de cristal,verres de cristal,verres de cristal
verres en dame-jeannes,verres en dame-jeannes,verres en dame-jeannes
vin de Bordeaux de ville,vin de bordeaux de ville,vin de bordeaux de ville
vin de Bourgogne,vin de bourgogne,vin de bourgogne
vin du Languedoc,vin du languedoc,vin du languedoc
vin de Malaga,vin de malaga,vin de malaga
vin de Saintonge,vin de saintonge,vin de saintonge
vin d'Espagne de Madère,vin d'espagne de madère,vin d'espagne de madere
vin français,vin français,vin francais
vin nantais,vin nantais,vin nantais
ains à pêcher,ains à pêcher,ains a pecher
barbançons de grès,barbançons de grès,barbancons de gres
barriques en bottes,barriques en bottes,barriques en bottes
bas de coton,bas de coton,bas de coton
bois des Indes,bois des indes,bois des indes
bœuf à la daube,bœuf à la daube,boeuf a la daube
boîtes de bois,boîtes de bois,boites de bois
bois d'acajou en madriers,bois d'acajou en madriers,bois d'acajou en madriers
bois jaune,bois jaune,bois jaune
bois merrains à tonneaux,bois merrains à tonneaux,bois merrains a tonneaux
bois merrains douelles,bois merrains douelles,bois merrains douelles
bonnets de laine,bonnets de laine,bonnets de laine
bonneterie de soie,bonneterie de soie,bonneterie de soie
bourses de soie,bourses de soie,bourses de soie
boutons de fil or et argent,boutons de fil or et argent,boutons de fil or et argent
boutons de coco,boutons de coco,boutons de coco
boyaux salés,boyaux salés,boyaux sales
brai et goudron,brai et goudron,brai et goudron
caves garnies de 6 flacons,caves garnies de 6 flacons,caves garnies de 6 flacons
cercles de bois,cercles de bois,cercles de bois
cervelas,cervelas,cervelas
chaises de jonc,chaises de jonc,chaises de jonc
chair salée jambon,chair salée jambon,chair salee jambon
chapeaux vigogne,chapeaux vigogne,chapeaux vigogne
chemises garnies,chemises garnies,chemises garnies
chevrons de sapin,chevrons de sapin,chevrons de sapin
cruches de grès,cruches de grès,cruches de gres
vin d'Espagne,vin d'espagne,vin d'espagne
colliers de perles fausses,colliers de perles fausses,colliers de perles fausses
cornes de cerf,cornes de cerf,cornes de cerf
couffins d'espars,couffins d'espars,couffins d'espars
couvertures d'étoupes,couvertures d'étoupes,couvertures d'etoupes
crics,crics,crics
culottes de peau,culottes de peau,culottes de peau
dame-jeannes clissées,dame-jeannes clissées,dame-jeannes clissees
dentelle de fil du Puy,dentelle de fil du puy,dentelle de fil du puy
drap de Sedan,drap de sedan,drap de sedan
drogues médicinales jus de réglisse,drogues médicinales jus de réglisse,drogues medicinales jus de reglisse
drogues médicinales quinquina,drogues médicinales quinquina,drogues medicinales quinquina
drogues médicinales salsepareille,drogues médicinales salsepareille,drogues medicinales salsepareille
eau-de-vie de genièvre,eau-de-vie de genièvre,eau-de-vie de genievre
écorce de citron,écorce de citron,ecorce de citron
épicerie diverse,épicerie diverse,epicerie diverse
scammonée,scammonée,scammonee
étamine du Mans,étamine du mans,etamine du mans
étoffe de laine diverse,étoffe de laine diverse,etoffe de laine diverse
étoffe de soie diverse,étoffe de soie diverse,etoffe de soie diverse
éventails communs,éventails communs,eventails communs
fer vieux,fer vieux,fer vieux
fer en marmites,fer en marmites,fer en marmites
fruits verts,fruits verts,fruits verts
fusils de traite,fusils de traite,fusils de traite
gaze à peu de soie,gaze à peu de soie,gaze a peu de soie
grabeau de séné,grabeau de séné,grabeau de sene
gobelets de verre,gobelets de verre,gobelets de verre
graine de luzerne,graine de luzerne,graine de luzerne
graine de millet,graine de millet,graine de millet
graine jaune,graine jaune,graine jaune
harengs fumés,harengs fumés,harengs fumes
harnais de chevaux,harnais de chevaux,harnais de chevaux
huile d'aspic,huile d'aspic,huile d'aspic
huile d'olive commune,huile d'olive commune,huile d'olive commune
laine lavée,laine lavée,laine lavee
langues fourrées,langues fourrées,langues fourrees
légumes fèves,légumes fèves,legumes feves
manne,manne,manne
marchandises de modes,marchandises de modes,marchandises de modes
mors de brides,mors de brides,mors de brides
mèches,mèches,meches
médicaments,médicaments,medicaments
métiers à faire bas,métiers à faire bas,metiers a faire bas
moulins à maïs,moulins à maïs,moulins a mais
nacre de perles,nacre de perles,nacre de perles
nattes de paille,nattes de paille,nattes de paille
nicaneas grands,nicaneas grands,nicaneas grands
orpiment,orpiment,orpiment
papier blanc,papier blanc,papier blanc
papier peint,papier peint,papier peint
parasols,parasols,parasols
parfumerie pommade,parfumerie pommade,parfumerie pommade
peaux d'agneau en laine,peaux d'agneau en laine,peaux d'agneau en laine
peaux de chien de mer,peaux de chien de mer,peaux de chien de mer
peaux de chevreau,peaux de chevreau,peaux de chevreau
peaux de renard,peaux de renard,peaux de renard
pelleterie crue,pelleterie crue,pelleterie crue
pierres de Malte,pierres de malte,pierres de malte
pinceaux à goudronner,pinceaux à goudronner,pinceaux a goudronner
planches de chêne de 10 pieds,planches de chêne de 10 pieds,planches de chene de 10 pieds
prunes de Sainte-Catherine,prunes de sainte-catherine,prunes de sainte-catherine
poisson frais,poisson frais,poisson frais
porcs salés,porcs salés,porcs sales
quincaille de cuivre,quincaille de cuivre,quincaille de cuivre
racines d'angélique,racines d'angélique,racines d'angelique
résines de jalap,résines de jalap,resines de jalap
rais de charrues,rais de charrues,rais de charrues
rognons de castor,rognons de castor,rognons de castor
ruban de fleuret,ruban de fleuret,ruban de fleuret
sel gemme,sel gemme,sel gemme
soie à coudre,soie à coudre,soie a coudre
soie Nankin,soie nankin,soie nankin
sucre candi,sucre candi,sucre candi
sucre têtes de forme,sucre têtes de forme,sucre tetes de forme
tabatières d'olivier,tabatières d'olivier,tabatieres d'olivier
tapisserie de haute lice,tapisserie de haute lice,tapisserie de haute lice
terra merita,terra merita,terra merita
terre à pipes,terre à pipes,terre a pipes
terre d'ombre,terre d'ombre,terre d'ombre
thé bou,thé bou,the bou
tuiles,tuiles,tuiles
toile de crin,toile de crin,toile de crin
toile caladaris,toile caladaris,toile caladaris
toile canevas,toile canevas,toile canevas
toile crée large,toile crée large,toile cree large
toile de Bretagne de haut brin,toile de bretagne de haut brin,toile de bretagne de haut brin
toile de Bretagne rondelette,toile de bretagne rondelette,toile de bretagne rondelette
toile de Cholet,toile de cholet,toile de cholet
toile de chanvre à voile,toile de chanvre à voile,toile de chanvre a voile
toile de Mortagne,toile de mortagne,toile de mortagne
toile d'étoupes de chanvre,toile d'étoupes de chanvre,toile d'etoupes de chanvre
toile linon,toile linon,toile linon
toile manouf,toile manouf,toile manouf
toile mêlée,toile mêlée,toile melee
toile non battue,toile non battue,toile non battue
vaisselle d'argent,vaisselle d'argent,vaisselle d'argent
vin de Bordeaux,vin de bordeaux,vin de bordeaux
vin de Bordeaux de Blaye,vin de bordeaux de blaye,vin de bordeaux de blaye
vin de Sainte-Foy,vin de sainte-foy,vin de sainte-foy
vin d'Orléans,vin d'orléans,vin d'orleans
argent vif,argent vif,argent vif
azur commun,azur commun,azur commun
alambics d'étain,alambics d'étain,alambics d'etain
alibanies,alibanies,alibanies
hamacs,hamacs,hamacs
anguilles salées,anguilles salées,anguilles salees
anis étoilé,anis étoilé,anis etoile
armes à feu,armes à feu,armes a feu
baleine de sarde,baleine de sarde,baleine de sarde
barres de cabestan,barres de cabestan,barres de cabestan
bassin d'étain,bassin d'étain,bassin d'etain
baume de la Mecque,baume de la mecque,baume de la mecque
bdellium,bdellium,bdellium
bœuf à l'écarlate,bœuf à l'écarlate,boeuf a l'ecarlate
blanc de baleine,blanc de baleine,blanc de baleine
blanc d'Espagne,blanc d'espagne,blanc d'espagne
blé sarrasin,blé sarrasin,ble sarrasin
boîtes de sapin,boîtes de sapin,boites de sapin
bois des Îles et des Indes,bois des îles et des indes,bois des iles et des indes
bois pour cribles,bois pour cribles,bois pour cribles
bois scié,bois scié,bois scie
bouteilles de verre clissées,bouteilles de verre clissées,bouteilles de verre clissees
boutons d'étain,boutons d'étain,boutons d'etain
cannelle,cannelle,cannelle
cannes de jonc,cannes de jonc,cannes de jonc
canevettes de grès,canevettes de grès,canevettes de gres
chapeaux de paille,chapeaux de paille,chapeaux de paille
cardes à carder,cardes à carder,cardes a carder
carouge,carouge,carouge
carreaux de marbre,carreaux de marbre,carreaux de marbre
cartes marines,cartes marines,cartes marines
caves garnies de 12 flacons,caves garnies de 12 flacons,caves garnies de 12 flacons
cendre de houille,cendre de houille,cendre de houille
cercles à barils,cercles à barils,cercles a barils
chair salée diverse,chair salée diverse,chair salee diverse
charrues,charrues,charrues
chauffe-pieds,chauffe-pieds,chauffe-pieds
chevaux juments,chevaux juments,chevaux juments
cuivre en chaudron,cuivre en chaudron,cuivre en chaudron
citrons confits,citrons confits,citrons confits
clous de girofle,clous de girofle,clous de girofle
confection d'hyacinthe,confection d'hyacinthe,confection d'hyacinthe
coutil,coutil,coutil
couperose,couperose,couperose
couvertures de coton,couvertures de coton,couvertures de coton
couteaux à gaine,couteaux à gaine,couteaux a gaine
couteaux communs,couteaux communs,couteaux communs
couvertures à nègre,couvertures à nègre,couvertures a negre
couvertures de plocq,couvertures de plocq,couvertures de plocq
creusets,creusets,creusets
crin frisé,crin frisé,crin frise
cuirs tannés de bœuf,cuirs tannés de bœuf,cuirs tannes de boeuf
cuivre en bassin,cuivre en bassin,cuivre en bassin
cuivre en chaudière,cuivre en chaudière,cuivre en chaudiere
dentelle de fil blanc,dentelle de fil blanc,dentelle de fil blanc
